id,FirstName,LastName,School,GPA,Major,SchoolYear,Email,PhoneNumber,,ImagePath
1,Vikki,Dooley,University of the West Indies St. Augustine,1.67,Computer Science,4,vdooley0@is.gd,968-339-7962,,Data/SeedData/Images/1.png
2,Manfred,Offen,Escuela Nacional de Estudios,1.68,Mechanical,1,moffen1@myspace.com,553-795-7444,,
3,Yurik,Manicomb,University of Kashmir,3.47,Chemical,2,ymanicomb2@unesco.org,548-760-1123,,
4,Judith,Trendle,Ecole Nationale des Sciences,2.18,Mining,3,jtrendle3@indiegogo.com,109-164-6052,,
5,Alyssa,Willisch,Evangelische Fachhochschule Berlin,1.09,Civil,3,awillisch4@bloomberg.com,883-764-0591,,
6,Fritz,Bettaney,Embry-Riddle Aeronautical University,3.13,Computer Science,3,fbettaney5@networkadvertising.org,376-608-2098,,
7,Lucila,Snowling,Osaka International University,3.46,Mechanical,3,lsnowling6@ifeng.com,839-642-4829,,
8,Fremont,McIlmurray,Fachhochschule Biberach,1.45,Computer Science,4,fmcilmurray7@devhub.com,894-206-8995,,
9,Aurelea,Sherrell,Lansbridge University,1.21,Physics,3,asherrell8@nyu.edu,817-324-4496,,
10,Courtnay,Squibe,University of the Assumption,2.82,Computer Science,3,csquibe9@foxnews.com,841-687-8595,,
11,Bryanty,Garrigan,Texas A&M University - Corpus Christi,1.21,Industrial,3,bgarrigana@webs.com,845-456-0432,,
12,Ede,MacClenan,St. Joseph's College of Maine,1.19,Mining,1,emacclenanb@huffingtonpost.com,592-700-3232,,
13,Kristy,Calder,Shanghai Second Medical University,1.16,Civil,3,kcalderc@nsw.gov.au,724-534-1610,,
14,Celka,Wanek,Pace University,2.41,Mechanical,1,cwanekd@myspace.com,840-329-1966,,
15,Aron,Monni,Politécnico Grancolombiano - Institución Universitaria,2.94,Business,3,amonnie@google.fr,647-628-1274,,
16,Marena,Tremlett,Pondicherry University,1.82,Business,3,mtremlettf@infoseek.co.jp,174-918-8974,,
17,Brennan,Lumox,Bila Cerkva State Agrarian University,2.04,Computer Science,1,blumoxg@statcounter.com,795-449-6561,,
18,Tobe,Guillard,Universidade Moderna de Lisboa,2.53,Mathematics,2,tguillardh@nature.com,611-655-5744,,
19,Monique,McPhater,Royal Melbourne Institute of Technology,3.31,Chemical,1,mmcphateri@ted.com,846-296-9264,,
20,Yorgos,Cherm,University of Wales Institute,3.19,Computer Science,2,ychermj@arstechnica.com,948-385-0929,,
21,Gerome,Rawcliffe,Marcus Oldham College,2.28,Physics,4,grawcliffek@ebay.co.uk,506-143-2551,,
22,Alvin,Grahlman,Espam Formation University,2.78,Computer Science,2,agrahlmanl@domainmarket.com,945-518-2483,,
23,Jeramey,Skelhorn,St. Mary-of-the-Woods College,2.96,Mathematics,3,jskelhornm@google.pl,572-493-0541,,
24,Joleen,Livett,Afghan University,3.4,Chemical,4,jlivettn@aboutads.info,375-781-8676,,
25,Odell,Fairham,College of Technology at Riyadh,1.67,Mechanical,2,ofairhamo@taobao.com,591-645-9639,,
26,Shane,Paute,College of Education Ikere,2.38,Mechanical,3,spautep@businesswire.com,856-891-9781,,
27,Ruthann,Vasyutkin,Bingham University,1.79,Computer Science,3,rvasyutkinq@yahoo.co.jp,139-866-5688,,
28,Kalil,Daughtry,University of the Netherlands Antille,2.65,Electrical,2,kdaughtryr@jigsy.com,908-949-2310,,
29,Byrann,Proudlove,Universidad de Ciencias y Humanidades,2.46,Mechanical,1,bproudloves@typepad.com,422-690-5893,,
30,Carmon,Klimko,Ural State Technical University,1.42,Electrical,3,cklimkot@hostgator.com,440-388-9758,,
31,Benji,Coupar,Mennonite College of Nursing,2.67,Computer Science,4,bcouparu@sourceforge.net,572-725-9206,,
32,Bret,Yegorovnin,State University of New York at Stony Brook,3.07,Electrical,4,byegorovninv@chron.com,594-636-7561,,
33,Ram,Penhale,Devi Ahilya University of Indore,3.94,Mining,2,rpenhalew@paypal.com,367-828-0019,,
34,Robby,Yeude,University of Constanta Medical School,1.95,Computer Science,4,ryeudex@shop-pro.jp,546-390-3964,,
35,Gifford,Beran,Mississippi Valley State University,1.62,Mechanical,2,gberany@yahoo.com,473-534-9918,,
36,Sophia,Wollers,Universidad Miguelde Elche,1.74,Computer Science,4,swollersz@fastcompany.com,787-667-6714,,
37,Rodney,Gawne,Hebei Agricultural University,3.78,Mechanical,3,rgawne10@people.com.cn,165-867-7647,,
38,Vallie,MacCaig,Turkish Military Academy,2.42,Industrial,4,vmaccaig11@dagondesign.com,182-592-3105,,
39,Philomena,Drysdale,Universidad Don Vasco,2.24,Mining,3,pdrysdale12@drupal.org,570-433-6487,,
40,Cora,Galia,Universidad Peruana Union,1.19,Computer engineering,1,cgalia13@diigo.com,613-765-5854,,
41,Carroll,Spyer,Universidade Gregorio Semedo,2.59,Chemical,4,cspyer14@cargocollective.com,988-802-2809,,
42,Meyer,Panyer,Ludong University,2.8,Computer Science,1,mpanyer15@cbslocal.com,297-642-6699,,
43,Milka,Gallimore,Union College Kentucky,3.64,Civil,1,mgallimore16@phpbb.com,946-172-4680,,
44,Vicki,Durbann,Colorado school of mines,3.71,Computer Science,4,vdurbann17@google.es,342-952-8818,,
45,Marybelle,Ocklin,Westfield State College,3.19,Computer Science,4,mocklin18@springer.com,948-759-2438,,
46,Peadar,Inderwick,Henan Buddhist College,2.15,Electrical,3,pinderwick19@census.gov,439-233-6597,,
47,Gerri,Rawll,Kebbi State University of Science and Technology,1.15,Civil,4,grawll1a@deviantart.com,956-495-4348,,
48,Maighdiln,Shufflebotham,Babasaheb Bhimrao Ambedkar University,3.63,Computer Science,4,mshufflebotham1b@mysql.com,523-453-1299,,
49,Kanya,Manilo,National University of Rwanda,1.82,Mechanical,3,kmanilo1c@naver.com,341-290-5136,,
50,Ahmad,Godbehere,Michigan state University,3.74,Computer Science,1,agodbehere1d@google.com.br,241-105-5619,,
